timestamp,steer,accel,brake,gear,speedX,speedY,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,focus_0,focus_1,focus_2,focus_3,focus_4
199.785,-0.05557,0.99998,0.00000,1,5.4297,-0.0431,0.33309,0.00983,5236.0,0.0,5.7154,12.7038,22.8788,137.8570,89.7536,76.4836,70.9115,66.6721,63.9471,61.4406,59.1275,56.9862,54.2436,51.4242,46.8804,39.7837,30.8481,22.6529,11.2020,5.3503,4.9528,7.1051,7.1051,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.807,-0.05557,0.99998,0.00000,1,6.3066,-0.0504,0.33299,0.01006,5236.0,0.0,5.7176,12.7165,22.9538,137.4610,89.5694,76.3440,70.7890,66.5614,63.8441,61.3442,59.0372,56.9016,54.1653,51.3524,46.8188,39.7351,30.8148,22.6339,11.1987,6.1183,5.8936,8.0641,8.0641,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.826,-0.05557,0.99998,0.00000,1,7.1676,-0.0568,0.33287,0.01032,5236.0,0.0,5.7201,12.7312,23.0418,137.0080,89.3576,76.1836,70.6479,66.4344,63.7257,61.2335,58.9334,56.8039,54.0753,51.2700,46.7480,39.6792,30.7766,22.6120,11.1949,6.8538,6.9220,9.2175,9.2175,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.846,-0.05557,0.88696,0.00000,1,8.0186,-0.0631,0.33274,0.01061,5236.0,0.0,5.7229,12.7481,23.1432,136.4940,89.1178,76.0018,70.4881,66.2908,63.5915,61.1080,58.8157,56.6931,53.9735,51.1768,46.6679,39.6159,30.7331,22.5872,11.1905,7.4332,7.6995,10.6315,10.6315,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.869,-0.05557,0.94613,0.00000,1,8.8606,-0.0702,0.33259,0.01095,5236.0,0.0,5.7261,12.7670,23.2585,135.9240,88.8511,75.7995,70.3101,66.1305,63.4421,60.9686,58.6848,56.5702,53.8599,51.0729,46.5785,39.5455,30.6847,22.5594,11.1857,7.9457,8.2860,10.8851,10.8851,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.885,-0.05557,0.84719,0.00000,1,9.6893,-0.0775,0.33243,0.01132,5236.0,0.0,5.7297,12.7882,23.3888,135.2990,88.5583,75.5769,70.1146,65.9541,63.2780,60.8150,58.5407,56.4346,53.7350,50.9586,46.4803,39.4679,30.6315,22.5289,11.1802,8.5312,8.8113,11.9352,11.9352,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.906,-0.05557,0.99374,0.00000,1,10.5052,-0.0847,0.33225,0.01172,5236.0,0.0,5.7336,12.8116,23.5338,134.6230,88.2403,75.3354,69.9022,65.7629,63.0997,60.6482,58.3842,56.2874,53.5993,50.8343,46.3733,39.3834,30.5735,22.4955,11.1743,9.2481,9.4247,11.8676,11.8676,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.925,-0.05557,0.81502,0.00000,1,11.3139,-0.0914,0.33204,0.01215,5236.0,0.0,5.7379,12.8370,23.6949,133.9000,87.8996,75.0764,69.6744,65.5573,62.9079,60.4688,58.2161,56.1293,53.4535,50.7006,46.2584,39.2926,30.5111,22.4597,11.1679,10.0580,10.1671,13.5374,13.5374,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.948,-0.05557,0.99998,0.00000,1,12.1223,-0.0976,0.33182,0.01261,5236.0,0.0,5.7426,12.8647,23.8737,133.1310,87.5354,74.7993,69.4305,65.3374,62.7027,60.2770,58.0361,55.9598,53.2972,50.5575,46.1352,39.1952,30.4442,22.4211,11.1610,10.8993,10.9861,13.0863,13.0863,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
199.968,-0.05557,0.88407,0.00000,1,13.0059,-0.1046,0.33155,0.01316,5236.0,0.0,5.7481,12.8978,24.0912,132.2370,87.1104,74.4755,69.1453,65.0805,62.4631,60.0524,57.8252,55.7614,53.1144,50.3898,45.9909,39.0808,30.3656,22.3759,11.1528,11.8817,11.9595,15.0002,15.0002,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
